name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Euelbräu,Switzerland,Nano Brewery,22 Beers,803 Ratings,(3.16),https://untappd.com/brewery/17123,01/04/2020 10:18:42
Volg,Switzerland,Bar / Restaurant / Store,3 Beers,789 Ratings,(2.613),https://untappd.com/brewery/126670,01/04/2020 10:18:42
Bärg Bier,Switzerland,Nano Brewery,12 Beers,784 Ratings,(3.357),https://untappd.com/brewery/303516,01/04/2020 10:18:42
Brasserie De L'Improbable,Switzerland,Nano Brewery,39 Beers,784 Ratings,(3.689),https://untappd.com/brewery/192064,01/04/2020 10:18:42
Lance-Pierre,Switzerland,Nano Brewery,46 Beers,779 Ratings,(3.661),https://untappd.com/brewery/181343,01/04/2020 10:18:43
Tonnebière,Switzerland,Micro Brewery,16 Beers,778 Ratings,(3.598),https://untappd.com/brewery/202394,01/04/2020 10:18:43
Buechibärger Bier,Switzerland,Brew Pub,34 Beers,756 Ratings,(3.458),https://untappd.com/brewery/140538,01/04/2020 10:18:43
Les Fleurs du Malt,Switzerland,Nano Brewery,21 Beers,750 Ratings,(3.599),https://untappd.com/brewery/42345,01/04/2020 10:18:44
Arosabräu,Switzerland,Nano Brewery,4 Beers,745 Ratings,(3.649),https://untappd.com/brewery/254312,01/04/2020 10:18:44
Seeland Bräu,Switzerland,Brew Pub,15 Beers,743 Ratings,(3.598),https://untappd.com/brewery/77230,01/04/2020 10:18:45
Totally Beer Suisse,Switzerland,Nano Brewery,19 Beers,734 Ratings,(3.282),https://untappd.com/brewery/240085,01/04/2020 10:18:45
Riot Act Brewing,Switzerland,Nano Brewery,31 Beers,726 Ratings,(3.743),https://untappd.com/brewery/415953,01/04/2020 10:18:45
Einhornbräu,Switzerland,Nano Brewery,13 Beers,723 Ratings,(3.319),https://untappd.com/brewery/210546,01/04/2020 10:18:45
Brüll!Bier,Switzerland,Nano Brewery,15 Beers,702 Ratings,(3.371),https://untappd.com/brewery/111512,01/04/2020 10:18:46
Entlebucher Bier,Switzerland,Nano Brewery,8 Beers,696 Ratings,(3.307),https://untappd.com/brewery/39269,01/04/2020 10:18:46
Fleisch und Brau,Switzerland,Nano Brewery,14 Beers,688 Ratings,(3.408),https://untappd.com/brewery/28577,01/04/2020 10:18:46
Lola Cola,Switzerland,Micro Brewery,2 Beers,665 Ratings,(3.22),https://untappd.com/brewery/341315,01/04/2020 10:18:47
Brauhuus 531,Switzerland,Nano Brewery,25 Beers,662 Ratings,(3.432),https://untappd.com/brewery/261038,01/04/2020 10:18:47
Napf,Switzerland,Nano Brewery,17 Beers,663 Ratings,(3.406),https://untappd.com/brewery/18221,01/04/2020 10:18:47
aabachbier,Switzerland,Nano Brewery,82 Beers,654 Ratings,(3.781),https://untappd.com/brewery/172212,01/04/2020 10:18:48
Beer Guerrillas,Switzerland,Nano Brewery,58 Beers,650 Ratings,(3.526),https://untappd.com/brewery/122188,01/04/2020 10:18:48
Boss'Beer,Switzerland,Nano Brewery,8 Beers,644 Ratings,(3.34),https://untappd.com/brewery/289350,01/04/2020 10:18:48
Père Jakob,Switzerland,Nano Brewery,27 Beers,637 Ratings,(3.551),https://untappd.com/brewery/55365,01/04/2020 10:18:49
Rud Bir,Switzerland,Nano Brewery,25 Beers,613 Ratings,(3.459),https://untappd.com/brewery/198464,01/04/2020 10:18:49
BRAUBAR,Switzerland,Nano Brewery,0 Beer,606 Ratings,(3.945),https://untappd.com/brewery/56807,01/04/2020 10:18:49
Sunnegg Brau Haus,Switzerland,Nano Brewery,20 Beers,606 Ratings,(3.372),https://untappd.com/brewery/125484,01/04/2020 10:18:50
BrauBudeBasel BBB,Switzerland,Nano Brewery,45 Beers,598 Ratings,(3.375),https://untappd.com/brewery/153910,01/04/2020 10:18:50
BierBienne,Switzerland,Contract Brewery,4 Beers,586 Ratings,(3.477),https://untappd.com/brewery/134360,01/04/2020 10:18:50
Brasserie La Concorde,Switzerland,Nano Brewery,23 Beers,581 Ratings,(3.336),https://untappd.com/brewery/215330,01/04/2020 10:18:51
Drinks of the World,Switzerland,Bar / Restaurant / Store,1 Beer,580 Ratings,(2.43),https://untappd.com/brewery/43104,01/04/2020 10:18:51
Cap'taine Mousse,Switzerland,Nano Brewery,18 Beers,579 Ratings,(3.533),https://untappd.com/brewery/271699,01/04/2020 10:18:51
Brasserie Haldemann,Switzerland,Nano Brewery,0 Beer,579 Ratings,(3.545),https://untappd.com/brewery/155324,01/04/2020 10:18:51
Freihof,Switzerland,Brew Pub,24 Beers,577 Ratings,(3.202),https://untappd.com/brewery/103771,01/04/2020 10:18:52
Braukunst Bern,Switzerland,Nano Brewery,30 Beers,576 Ratings,(3.46),https://untappd.com/brewery/296786,01/04/2020 10:18:52
Schwarz Mönch,Switzerland,Contract Brewery,1 Beer,566 Ratings,(4.215),https://untappd.com/brewery/283023,01/04/2020 10:18:52
Biergarage,Switzerland,Nano Brewery,18 Beers,567 Ratings,(3.475),https://untappd.com/brewery/175201,01/04/2020 10:18:53
Brauerei Hürlimann,Switzerland,Macro Brewery,0 Beer,563 Ratings,(4.21),https://untappd.com/brewery/61257,01/04/2020 10:18:53
Brauerei Sutton,Switzerland,Nano Brewery,11 Beers,547 Ratings,(3.471),https://untappd.com/brewery/180665,01/04/2020 10:18:53
BlackPig Brewing Co,Switzerland,Brew Pub,10 Beers,546 Ratings,(3.569),https://untappd.com/brewery/271754,01/04/2020 10:18:53
Gutknecht's Hammer-Bier,Switzerland,Nano Brewery,38 Beers,549 Ratings,(3.556),https://untappd.com/brewery/91406,01/04/2020 10:18:54
Damn Good,Switzerland,Micro Brewery,1 Beer,539 Ratings,(3.139),https://untappd.com/brewery/340785,01/04/2020 10:18:54
Fahrtwind,Switzerland,Nano Brewery,19 Beers,537 Ratings,(3.079),https://untappd.com/brewery/16347,01/04/2020 10:18:54
Brasserie Artisanale du Château,Switzerland,Brew Pub,20 Beers,534 Ratings,(3.256),https://untappd.com/brewery/51297,01/04/2020 10:18:54
4655 Brewing Company,Switzerland,Nano Brewery,34 Beers,530 Ratings,(4.46),https://untappd.com/brewery/211839,01/04/2020 10:18:55
The Alps,Switzerland,Micro Brewery,5 Beers,521 Ratings,(3.674),https://untappd.com/brewery/347217,01/04/2020 10:18:55
Old School (Faulensee),Switzerland,Nano Brewery,44 Beers,521 Ratings,(3.565),https://untappd.com/brewery/250798,01/04/2020 10:18:55
Brauerei Chur,Switzerland,Contract Brewery,6 Beers,519 Ratings,(3.173),https://untappd.com/brewery/42387,01/04/2020 10:18:55
BZW Bierzunft Wehntal,Switzerland,Nano Brewery,77 Beers,517 Ratings,(3.81),https://untappd.com/brewery/106534,01/04/2020 10:18:56
Wabräu,Switzerland,Nano Brewery,12 Beers,515 Ratings,(3.481),https://untappd.com/brewery/79970,01/04/2020 10:18:56
Nubia Brew,Switzerland,Contract Brewery,7 Beers,511 Ratings,(3.047),https://untappd.com/brewery/202888,01/04/2020 10:18:56
Faberbräu,Switzerland,Nano Brewery,11 Beers,510 Ratings,(3.208),https://untappd.com/brewery/198235,01/04/2020 10:18:57
Brewdaz,Switzerland,Nano Brewery,19 Beers,510 Ratings,(3.53),https://untappd.com/brewery/318101,01/04/2020 10:18:57
Landskroner Bräu,Switzerland,Nano Brewery,16 Beers,498 Ratings,(3.398),https://untappd.com/brewery/210212,01/04/2020 10:18:57
MN Brew,Switzerland,Nano Brewery,33 Beers,495 Ratings,(3.38),https://untappd.com/brewery/318784,01/04/2020 10:18:57
Gottardo,Switzerland,Contract Brewery,2 Beers,489 Ratings,(2.933),https://untappd.com/brewery/70273,01/04/2020 10:18:58
Rigi Gold,Switzerland,Brew Pub,4 Beers,484 Ratings,(3.195),https://untappd.com/brewery/249809,01/04/2020 10:18:58
le Fou Du Roi,Switzerland,Nano Brewery,17 Beers,482 Ratings,(3.42),https://untappd.com/brewery/309222,01/04/2020 10:18:58
La Challensoise,Switzerland,Nano Brewery,12 Beers,480 Ratings,(3.463),https://untappd.com/brewery/306022,01/04/2020 10:18:58
The Stillman's,Switzerland,Contract Brewery,0 Beer,470 Ratings,(3.704),https://untappd.com/brewery/16874,01/04/2020 10:18:59
NordSud,Switzerland,Nano Brewery,24 Beers,464 Ratings,(3.381),https://untappd.com/brewery/356285,01/04/2020 10:18:59
Celestial,Switzerland,Nano Brewery,16 Beers,460 Ratings,(3.397),https://untappd.com/brewery/367942,01/04/2020 10:18:59
Obersee Brau Union,Switzerland,Nano Brewery,17 Beers,453 Ratings,(3.306),https://untappd.com/brewery/276328,01/04/2020 10:18:59
Stadtmauer Brauer,Switzerland,Nano Brewery,8 Beers,438 Ratings,(3.502),https://untappd.com/brewery/305587,01/04/2020 10:19:00
Stammheimer Hopfentropfen,Switzerland,Nano Brewery,6 Beers,433 Ratings,(3.367),https://untappd.com/brewery/211539,01/04/2020 10:19:00
MóMò,Switzerland,Nano Brewery,12 Beers,414 Ratings,(2.958),https://untappd.com/brewery/131092,01/04/2020 10:19:00
Güschu 58 Braui,Switzerland,Nano Brewery,47 Beers,412 Ratings,(3.776),https://untappd.com/brewery/224956,01/04/2020 10:19:01
Huus-Braui,Switzerland,Brew Pub,26 Beers,410 Ratings,(3.385),https://untappd.com/brewery/87737,01/04/2020 10:19:01
UG Bräu,Switzerland,Nano Brewery,51 Beers,409 Ratings,(3.697),https://untappd.com/brewery/125474,01/04/2020 10:19:01
Genossenschaft Keimling,Switzerland,Nano Brewery,31 Beers,408 Ratings,(3.434),https://untappd.com/brewery/295392,01/04/2020 10:19:01
Bartis,Switzerland,Nano Brewery,22 Beers,406 Ratings,(3.121),https://untappd.com/brewery/49833,01/04/2020 10:19:02
Craftfeld,Switzerland,Nano Brewery,24 Beers,406 Ratings,(3.905),https://untappd.com/brewery/404837,01/04/2020 10:19:02
No Land,Switzerland,Nano Brewery,23 Beers,390 Ratings,(3.392),https://untappd.com/brewery/234342,01/04/2020 10:19:02
Farnsburger Bier,Switzerland,Nano Brewery,11 Beers,386 Ratings,(3.067),https://untappd.com/brewery/302289,01/04/2020 10:19:02
Mountain Madness,Switzerland,Nano Brewery,84 Beers,382 Ratings,(4.106),https://untappd.com/brewery/273678,01/04/2020 10:19:03
Hüttenbräu,Switzerland,Nano Brewery,11 Beers,379 Ratings,(3.268),https://untappd.com/brewery/332391,01/04/2020 10:19:03
Fjord & Fjell,Switzerland,Nano Brewery,50 Beers,375 Ratings,(3.622),https://untappd.com/brewery/244914,01/04/2020 10:19:03
BertBier,Switzerland,Nano Brewery,11 Beers,374 Ratings,(3.319),https://untappd.com/brewery/181271,01/04/2020 10:19:03
Lozärner Bier,Switzerland,Contract Brewery,0 Beer,372 Ratings,(3.214),https://untappd.com/brewery/397621,01/04/2020 10:19:04
Bîrtel,Switzerland,Nano Brewery,19 Beers,370 Ratings,(3.452),https://untappd.com/brewery/148848,01/04/2020 10:19:04
Winslow Brew Co.,Switzerland,Nano Brewery,0 Beer,366 Ratings,(3.293),https://untappd.com/brewery/284437,01/04/2020 10:19:04
Brasserie du Dzô,Switzerland,Nano Brewery,8 Beers,363 Ratings,(3.471),https://untappd.com/brewery/347719,01/04/2020 10:19:05
Octopus - Bräu,Switzerland,Nano Brewery,23 Beers,362 Ratings,(3.291),https://untappd.com/brewery/70381,01/04/2020 10:19:05
BadFish Brewing Company,Switzerland,Nano Brewery,21 Beers,356 Ratings,(3.439),https://untappd.com/brewery/358788,01/04/2020 10:19:05
Zur grünen Amsel,Switzerland,Nano Brewery,22 Beers,355 Ratings,(3.188),https://untappd.com/brewery/69547,01/04/2020 10:19:05
Mont-Noble,Switzerland,Nano Brewery,13 Beers,352 Ratings,(3.475),https://untappd.com/brewery/303259,01/04/2020 10:19:06
Getränke Lussi AG,Switzerland,Nano Brewery,10 Beers,347 Ratings,(3.299),https://untappd.com/brewery/82407,01/04/2020 10:19:06
Strättligen Bier,Switzerland,Nano Brewery,62 Beers,347 Ratings,(3.528),https://untappd.com/brewery/26043,01/04/2020 10:19:06
Brasserie Les Barbus,Switzerland,Nano Brewery,12 Beers,344 Ratings,(3.652),https://untappd.com/brewery/302039,01/04/2020 10:19:06
Wyssestei Bier,Switzerland,Contract Brewery,1 Beer,341 Ratings,(3.346),https://untappd.com/brewery/140494,01/04/2020 10:19:07
