link,location,no_checkins_all_time,no_users_all_time,monthly,beer_name,beer_stye,abv,ibu,beer_rating,raters,added,beer_link
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Gran Alpin Amber,Lager - Amber,5% ABV,N/A IBU,(3.26),"1,618 Ratings",Added 02/02/18,https://untappd.com/b/brauerei-locher-gran-alpin-amber/2495408
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Quöllfrisch Dunkel,Lager - Dark,5.4% ABV,N/A IBU,(3.31),"1,328 Ratings",Added 03/10/17,https://untappd.com/b/brauerei-locher-appenzeller-quollfrisch-dunkel/1988509
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Ginger Beer,Ginger Beer,2.4% ABV,N/A IBU,(3.31),"1,240 Ratings",Added 11/25/17,https://untappd.com/b/brauerei-locher-ginger-beer/2402434
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Säntis Kristall Spezial,Pilsner - Other,5.2% ABV,22 IBU,(3.26),"1,164 Ratings",Added 11/25/11,https://untappd.com/b/brauerei-locher-santis-kristall-spezial/102318
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Karbacher Köhler-Bier,Märzen,5% ABV,N/A IBU,(3.48),"1,084 Ratings",Added 04/28/12,https://untappd.com/b/brauerei-locher-kohler-bier/165773
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Lager Hell,Lager - Helles,4.8% ABV,18 IBU,(3.23),889 Ratings,Added 05/06/11,https://untappd.com/b/brauerei-locher-appenzeller-lager-hell/48468
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Birra da Ris,Specialty Grain,5% ABV,N/A IBU,(2.99),"1,084 Ratings",Added 04/16/12,https://untappd.com/b/brauerei-locher-birra-da-ris/160273
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Naturperle Hell,Lager - Helles,5% ABV,18 IBU,(3.23),996 Ratings,Added 11/07/12,https://untappd.com/b/brauerei-locher-appenzeller-naturperle-hell/258980
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Quöllfrisch Hopfig Herb,Lager - Helles,5% ABV,N/A IBU,(3.26),864 Ratings,Added 03/16/15,https://untappd.com/b/brauerei-locher-appenzeller-quollfrisch-hopfig-herb/1012527
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Gran Alpin Perla,Kölsch,5% ABV,N/A IBU,(3.18),747 Ratings,Added 02/20/19,https://untappd.com/b/brauerei-locher-gran-alpin-perla/3090970
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Alpstein Bock,Bock - Doppelbock,8% ABV,N/A IBU,(3.49),684 Ratings,Added 05/31/14,https://untappd.com/b/brauerei-locher-alpstein-bock/698901
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Sonnwendlig,Non-Alcoholic Beer,0.5% ABV,18 IBU,(2.56),568 Ratings,Added 05/19/12,https://untappd.com/b/brauerei-locher-appenzeller-sonnwendlig/175424
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Schnuggebock,Bock - Hell / Maibock / Lentebock,5.2% ABV,N/A IBU,(3.15),573 Ratings,Added 09/23/12,https://untappd.com/b/brauerei-locher-schnuggebock/234395
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Mielfiore,Honey Beer,4.6% ABV,11 IBU,(3.21),511 Ratings,Added 01/14/15,https://untappd.com/b/brauerei-locher-appenzeller-mielfiore/944210
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Swiss Mountain,Lager - Helles,4.8% ABV,18 IBU,(2.99),475 Ratings,Added 03/18/12,https://untappd.com/b/brauerei-locher-swiss-mountain/147156
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Grande Dame,Sour - Flanders Oud Bruin,7% ABV,35 IBU,(3.84),"5,158 Ratings",Added 02/07/11,https://untappd.com/b/trois-dames-grande-dame/29273
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Forêt Noire,Sour - Fruited,6.8% ABV,N/A IBU,(3.85),"3,789 Ratings",Added 05/17/14,https://untappd.com/b/trois-dames-foret-noire/682648
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Saison Framboise,Farmhouse Ale - Saison,6.8% ABV,N/A IBU,(3.75),"2,795 Ratings",Added 06/20/13,https://untappd.com/b/trois-dames-saison-framboise/388689
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,La Tentation,Graff,7.3% ABV,N/A IBU,(3.92),"2,295 Ratings",Added 06/19/13,https://untappd.com/b/trois-dames-la-tentation/388209
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Sainte Ni Touche,Bière de Garde,9% ABV,N/A IBU,(3.86),"2,099 Ratings",Added 04/15/12,https://untappd.com/b/trois-dames-sainte-ni-touche/159876
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,IPA,IPA - American,6.3% ABV,60 IBU,(3.65),"1,951 Ratings",Added 12/28/10,https://untappd.com/b/trois-dames-ipa/18247
